group,Duration (in seconds),prolific_ID,1_Date_of_birth,Age,Gender,Education,Education_numeric,Income,Political,Platforms,Platforms_text,Using_PSPs,Using_Spotify,Personalization,Satisfaction,Personalization_satisfaction,understand_you,understand_other,benefit_1,benefit_4,benefit_5,fee,preferences_1,preferences_4,preferences_5,equal_fee,Fee_personalization,Fee_without_personalization,Personalization_fee_difference
control,134,61006aae2222bb26bb471213,1998,23,Female,College / university,3,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,Hulu,Netflix,Spotify",,2,1,Rarely,Sometimes,3,Yes,No,4,3,5,5,5,2,2,They should be charged the same amount,5,5,0
control,158,6108540bb26797ee51376c56,1992,29,Female,Graduate school,4,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,No,3,3,4,5,4,3,4,They should be charged the same amount,5,5,0
control,198,60fc167230bc88bdc8aa8741,2001,20,Female,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Apple Music",,2,0,Rarely,Sometimes,3,Yes,No,4,2,4,10,5,2,5,They should be charged the same amount,10,10,0
control,140,611145a267ff17098c76cb1a,1991,30,Female,Graduate school,4,$10000 to $19999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix,Peacock",,2,0,Sometimes,Sometimes,3,Yes,No,3,2,5,10,5,2,2,They should be charged the same amount,10,10,0
control,285,60fcc96991d7f1dff0cfb17f,1999,22,Female,College / university,3,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Spotify",,2,1,Sometimes,Most of the time,4,Yes,Yes,3,2,2,6,5,1,1,They should be charged the same amount,6,6,0
control,216,61081fbaae5d482685df3fde,1998,23,Female,College / university,3,Prefer not to say,Independent,"Amazon Prime / Amazon Music,Apple Music,Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,Yes,3,1,2,11,3,3,4,User A,10,13,-3
control,145,60fa5b25a5a4f10f086e14b3,2001,20,Male,College / university,3,Prefer not to say,Something else,"Disney Plus,HBO Max,Netflix,Pandora,Spotify",,2,1,Most of the time,Most of the time,4,Yes,No,4,2,3,10,3,2,4,User A,15,10,5
control,241,612921398e73bafab73eeaec,1994,27,Female,College / university,3,$5000 to $9999,Democrat,"Hulu,Netflix,Spotify",,2,1,Most of the time,Most of the time,4,Yes,No,4,1,5,10,5,1,4,User A,10,8,2
control,119,5c4bc384b4f50700015dd0a3,2000,21,Female,College / university,3,Prefer not to say,Democrat,"Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,3,4,10,4,4,4,They should be charged the same amount,10,10,0
control,168,5efcaaee74e56207d16db007,1997,24,Female,High school,2,Prefer not to say,Republican,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix",,2,0,Always,Most of the time,4,Yes,No,4,3,3,3,4,3,4,They should be charged the same amount,3,3,0
