StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,prolific_ID,1_Date_of_birth,2_Gender,3_Education,4_Income,5_Political,6_Platforms,6_Platforms_10_TEXT,7_Personalization,8_Satisfaction,9_T_understand_you,10T_understand_other,11_T_benefit_1,11_T_benefit_4,11_T_benefit_5,11_T_benefit_6,12_T_fee_9,T_13_preferences_1,T_13_preferences_4,T_13_preferences_5,14_T_Equal_fee,15_T_fee_2_1,15_T_fee_2_2,9_C_understand_you,10C_understand_other,11_C_benefit_1,11_C_benefit_4,11_C_benefit_5,11_C_benefit_21,12_C_fee_9,C_13_preferences_1,C_13_preferences_4,C_13_preferences_5,C_equal_fee,C_fee_2_1,C_fee_2_2
12/5/2021 6:04,12/5/2021 6:08,IP Address,67.188.24.215,100,210,TRUE,12/5/2021 6:08,R_vTPiKSchZUMQ3Kx,,,,,37.87669373,-122.267601,anonymous,EN,60d1af27fbac62dfb9687c96,2001,Female,High school,$20000 or more,Democrat,Amazon Prime / Amazon Music,,Rarely,Most of the time,Yes,Yes,3,3,3,5,10,4,2,2,They should be charged the same amount,10,10,,,,,,,,,,,,,
12/5/2021 6:04,12/5/2021 6:07,IP Address,68.227.237.62,100,212,TRUE,12/5/2021 6:08,R_1Lha8WalXAVtMQs,,,,,33.3289032,-111.865799,anonymous,EN,5b33034d975e260001e981c9,1995,Female,High school,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Spotify",,Most of the time,Sometimes,Yes,Yes,4,4,4,5,9,5,1,4,They should be charged the same amount,9.99,9.99,,,,,,,,,,,,,
12/5/2021 6:03,12/5/2021 6:09,IP Address,37.20.144.23,100,364,TRUE,12/5/2021 6:09,R_2t5SzSNveI8UbPL,,,,,52.29780579,104.2963867,anonymous,EN,6155b9c45f96867d9d9631fd,1993,Female,College / university,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Hulu,Netflix",,Sometimes,Most of the time,Yes,Yes,4,4,5,5,5,4,2,4,They should be charged the same amount,5,5,,,,,,,,,,,,,
12/5/2021 6:01,12/5/2021 6:06,IP Address,98.201.1.207,100,270,TRUE,12/5/2021 6:06,R_2sYkRJfv50LEV2c,,,,,29.97619629,-95.64009857,anonymous,EN,60fd276cdf69559354b184fb,2002,Female,High school,$10000 to $19999,Democrat,"Apple Music,HBO Max,Hulu,YouTube Premium / YouTube Music",,Sometimes,Sometimes,Yes,Yes,3,2,4,5,10,4,3,4,User A,10,7,,,,,,,,,,,,,
12/5/2021 6:01,12/5/2021 6:05,IP Address,73.118.49.82,100,247,TRUE,12/5/2021 6:05,R_1JK17gtm3Ksf1df,,,,,30.48049927,-84.22429657,anonymous,EN,5c30417cc9b67b000130fa69,1992,Female,Graduate school,$2000 to $4999,Democrat,"Hulu,Netflix,Paramount Plus,Spotify",,Rarely,Sometimes,Yes,Yes,4,4,3,5,6,5,1,4,They should be charged the same amount,5,5,,,,,,,,,,,,,
12/5/2021 6:00,12/5/2021 6:04,IP Address,107.77.212.156,100,251,TRUE,12/5/2021 6:04,R_2XgIyflOAVVtDbT,,,,,37.70469666,-122.1244965,anonymous,EN,5b0495e0b98c410001adb589,1994,Female,High school,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Spotify",,Rarely,Rarely,Yes,Yes,2,3,5,5,8,5,1,1,They should be charged the same amount,4,4,,,,,,,,,,,,,
12/5/2021 5:59,12/5/2021 6:03,IP Address,50.233.89.80,100,200,TRUE,12/5/2021 6:03,R_UthJa30nnT2ROwh,,,,,41.47799683,-87.94830322,anonymous,EN,60fc8001661feddb796ef7a0,1989,Female,College / university,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,Netflix",,Most of the time,Sometimes,Yes,Yes,3,4,5,5,5,4,3,4,They should be charged the same amount,5,5,,,,,,,,,,,,,
12/5/2021 5:58,12/5/2021 6:00,IP Address,73.116.83.87,100,150,TRUE,12/5/2021 6:00,R_1kOlRchPy17vbot,,,,,38.58790588,-121.405304,anonymous,EN,5cd8e69a987ddd00187b7c06,1992,Female,High school,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,Most of the time,Sometimes,Yes,Yes,5,5,5,5,12,1,3,5,User B,8,14,,,,,,,,,,,,,
12/5/2021 5:57,12/5/2021 6:00,IP Address,98.220.0.74,100,175,TRUE,12/5/2021 6:00,R_3dKQeYf8oGPblhB,,,,,41.7454071,-86.13870239,anonymous,EN,5d49dd914aff6e0001fb6eaf,1993,Female,Graduate school,$5000 to $9999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix",,Sometimes,Most of the time,Yes,No,4,4,4,5,5,2,1,1,User A,5,3,,,,,,,,,,,,,
12/5/2021 5:57,12/5/2021 6:01,IP Address,66.66.146.234,100,231,TRUE,12/5/2021 6:01,R_21nAB2bB7tEz1WM,,,,,43.22070313,-77.59919739,anonymous,EN,5b29b956007d870001c82114,1977,Male,College / university,$2000 to $4999,Republican,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Paramount Plus,Peacock",,Sometimes,Most of the time,Yes,Yes,4,4,5,5,15,5,2,4,User B,7,10,,,,,,,,,,,,,
